TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
1,0,31,6,0,,3000,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,0
1,1,69,2,1,0,0,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,0
1,1,58,0,0,,8000,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0
1,0,30,0,1,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0
0,0,79,0,0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
1,0,45,2,1,,0,,0,1,0,0,0,0,1,0,0,1,1,1,0,,0
1,0,54,2,0,,6800,0,1,1,0,0,0,1,0,,0,0,0,0,0,1,0
1,0,18,6,0,,0,,1,0,0,1,0,0,0,1,0,0,0,0,0,,0
1,1,70,2,0,,0,1,0,1,0,0,0,0,0,,0,1,1,0,0,0,0
0,0,62,2,0,,2400,0,0,1,0,0,0,0,0,,0,0,1,0,0,,0
0,0,41,8,0,20,6000,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,0,32,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,71,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,1,41,8,0,20,26000,,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
1,0,22,8,0,,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0
1,0,55,2,1,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,33,2,0,,4000,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,1,36,8,0,1,25000,,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,41,6,0,,4000,0,0,0,0,1,0,1,0,,0,0,0,0,0,1,0
1,1,22,6,1,,8000,,1,0,0,1,0,0,0,,0,0,0,0,0,,0
1,0,38,8,0,1,28000,0,1,0,0,0,1,0,0,,0,0,0,0,0,,0
0,1,38,8,0,,12800,,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
1,0,39,6,0,15,8800,,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
1,0,53,2,0,,5600,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,1,52,2,1,,12000,,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,55,2,1,,12000,,1,1,0,0,0,1,0,,0,1,0,0,0,,0
0,0,75,2,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,42,3,1,,2000,0,0,0,1,0,0,0,0,,0,0,1,0,0,,0
1,0,34,6,0,5,16000,,0,0,0,1,0,1,1,,0,0,0,0,0,1,0
1,0,49,6,0,,2000,0,0,0,0,1,0,1,0,,0,0,1,0,0,,0
1,0,50,2,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,,0
1,1,39,6,1,30,10800,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0
1,0,49,0,1,40,800,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,46,3,0,,10000,,1,0,1,0,0,1,0,,0,0,0,0,0,,0
0,0,66,2,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,29,2,0,15,1600,0,1,1,0,0,0,0,0,,0,1,1,0,0,0,0
1,1,73,2,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,44,3,0,,0,,0,0,1,0,0,0,0,,0,0,1,0,0,,0
1,1,51,6,0,0,4200,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,0,49,2,1,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,74,2,1,30,0,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0
0,1,34,6,0,,7000,0,0,0,0,1,0,1,0,,0,0,0,0,0,,0
1,1,51,3,0,,6000,0,1,0,1,0,0,1,0,,0,1,0,0,0,,0
1,1,55,3,0,15,3600,0,1,0,1,0,0,1,0,,0,0,0,0,0,1,0
0,1,41,3,1,30,8000,0,1,0,1,0,0,1,1,,0,0,1,0,0,1,0
0,0,42,6,1,0,0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,1,44,2,0,,3600,0,0,1,0,0,0,0,0,,0,0,1,0,0,,0
1,0,33,6,1,50,0,,1,0,0,1,0,1,0,,0,0,0,0,0,0,0
1,1,61,3,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,21,3,0,,15000,,1,0,1,0,0,0,0,1,0,0,0,0,0,,0
0,1,48,3,0,5,10000,,0,0,1,0,0,1,0,,0,0,0,0,0,1,0
0,0,24,8,0,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,43,3,0,0,15200,,0,0,1,0,0,1,0,,0,0,0,0,0,1,0
1,1,33,2,0,20,8000,,1,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,71,2,0,,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,41,8,0,20,6400,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0
0,1,24,6,0,0,16000,,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,1,40,3,0,,4000,,0,0,1,0,0,1,0,,0,1,1,0,0,,0
0,0,53,7,0,20,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,33,2,0,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,29,8,0,0,18000,0,1,0,0,0,1,1,0,,0,0,0,0,0,1,0
